video_id,window_size,MRR@10,avg_latency,p95_latency,mrr_10
020c52c2-01a0-40c5-bc27-96f75e0461fe,30,0.0,0.0116848945617675,0.0139956712722778,
020c52c2-01a0-40c5-bc27-96f75e0461fe,60,0.0,0.0092002550760904,0.009962773323059,
02e555ee-064c-40c4-bcd2-16f68e04cf41,30,0.0,0.012564738591512,0.0128423690795898,
02e555ee-064c-40c4-bcd2-16f68e04cf41,60,0.0,0.0109016895294189,0.0112087488174438,
0a0b3123-5a27-41fd-a156-602b1b99d73d,30,0.0,0.0085976918538411,0.0091351270675659,
0a0b3123-5a27-41fd-a156-602b1b99d73d,60,0.0,0.0083958307902018,0.009755253791809,
0df3ad73-e979-4f55-ba1e-67992b6bf9ec,30,0.0,0.0093043645222981,0.0097532749176025,
0df3ad73-e979-4f55-ba1e-67992b6bf9ec,60,0.0,0.0087850093841552,0.0094280958175659,
10cdab4e-f8b5-4541-98df-a1af91d5aef1,30,0.0,0.0087535381317138,0.0089125871658325,
10cdab4e-f8b5-4541-98df-a1af91d5aef1,60,0.0,0.0093756516774495,0.0100242614746093,
10d10224-1eb9-4c15-950a-0f5efae83ddf,30,0.0,0.0112169583638509,0.0115026473999023,
10d10224-1eb9-4c15-950a-0f5efae83ddf,60,0.0,0.0078486601511637,0.0084745645523071,
13532fd9-0071-4fad-a2a4-699153bc0554,30,0.0,0.0100181102752685,0.0108069896697998,
13532fd9-0071-4fad-a2a4-699153bc0554,60,0.0,0.0086712837219238,0.0091313600540161,
16ff65b6-7c67-4067-9998-05995343957d,30,0.0,0.0081586837768554,0.009099268913269,
16ff65b6-7c67-4067-9998-05995343957d,60,0.0,0.0090965429941813,0.0105451345443725,
2662d996-1c8c-4c8f-9bb5-2f69ecf1065f,30,0.0,0.0090721448262532,0.0092576265335083,
2662d996-1c8c-4c8f-9bb5-2f69ecf1065f,60,0.0,0.0085136095682779,0.0087103128433227,
28146953-9078-4ef8-afb5-673ed796127d,30,0.0,0.0085418224334716,0.009526252746582,
28146953-9078-4ef8-afb5-673ed796127d,60,0.0,0.0089602470397949,0.0094546794891357,
2a6649ef-7d36-416c-95d4-02e58a51a8b6,30,0.0,0.0087842941284179,0.0089297533035278,
2a6649ef-7d36-416c-95d4-02e58a51a8b6,60,0.0,0.0086135069529215,0.0090164184570312,
2c1c4f1f-2a2b-4548-9cdf-3084880c276a,30,0.0,0.0084118843078613,0.0090046882629394,
2c1c4f1f-2a2b-4548-9cdf-3084880c276a,60,0.0,0.0082866350809733,0.0085343122482299,
